ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,26212459.0000,960000,20260625

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,21600.0000000000,3401
1812,KAJIMA CORP,JP3210200006,TSE,JPY,6300.0000000000,5701
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,2000.0000000000,4320
1944,KINDEN CORP,JP3263000006,TSE,JPY,7900.0000000000,8209
2001,NIPPN CORPORATION,JP3723000000,TSE,JPY,3900.0000000000,2779
2802,AJINOMOTO CO INC,JP3119600009,TSE,JPY,700.0000000000,5480
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,300.0000000000,92500
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,95500.0000000000,1724
3382,SEVEN & I HOLDINGS,JP3422950000,TSE,JPY,25500.0000000000,1910
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,4000.0000000000,9560
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,8500.0000000000,2263
4061,DENKA COMPANY LTD,JP3549600009,TSE,JPY,6800.0000000000,4368
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,15300.0000000000,7100
4403,NOF CORP,JP3753400005,TSE,JPY,7100.0000000000,2623.5
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,700.0000000000,12010
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,3500.0000000000,7500
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,21000.0000000000,2526.5
4613,KANSAI PAINT CO,JP3229400001,TSE,JPY,3300.0000000000,2594.5
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,23000.0000000000,1999.5
4684,OBIC CO LTD,JP3173400007,TSE,JPY,18000.0000000000,3739
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,10400.0000000000,3595
5334,NITERRA CO LTD,JP3738600000,TSE,JPY,600.0000000000,10630
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,13900.0000000000,8029
5802,SUMITOMO ELECTRIC,JP3407400005,TSE,JPY,700.0000000000,12225
5991,NHK SPRING CO LTD,JP3742600004,TSE,JPY,1000.0000000000,3939
6005,MIURA CO LTD,JP3880800002,TSE,JPY,4400.0000000000,3174
6055,JAPAN MATERIAL CO,JP3389680004,TSE,JPY,7800.0000000000,2526
6098,RECRUIT HLDGS CO L,JP3970300004,TSE,JPY,22800.0000000000,11225
6134,FUJI CORPORATION,JP3809200003,TSE,JPY,6400.0000000000,8150
6146,DISCO CORPORATION,JP3548600000,TSE,JPY,400.0000000000,79740
6301,KOMATSU,JP3304200003,TSE,JPY,1100.0000000000,6481
6331,MITSUBISHI KAKOKI,JP3896000001,TSE,JPY,900.0000000000,3840
6361,EBARA CORP,JP3166000004,TSE,JPY,6200.0000000000,6279
6367,DAIKIN INDUSTRIES,JP3481800005,TSE,JPY,1100.0000000000,23490
6383,DAIFUKU CO LTD,JP3497400006,TSE,JPY,500.0000000000,7053
6501,HITACHI,JP3788600009,TSE,JPY,6200.0000000000,4691
6504,FUJI ELECTRIC CO.,JP3820000002,TSE,JPY,2700.0000000000,14690
6702,FUJITSU,JP3818000006,TSE,JPY,10700.0000000000,3232
6750,ELECOM CO,JP3168200008,TSE,JPY,5200.0000000000,1742
6758,SONY GROUP CORPORA,JP3435000009,TSE,JPY,39200.0000000000,3250
6762,TDK CORP,JP3538800008,TSE,JPY,1300.0000000000,3816
6845,AZBIL CORP,JP3937200008,TSE,JPY,13400.0000000000,1691.5
6857,ADVANTEST CORP,JP3122400009,TSE,JPY,1900.0000000000,31200
6861,KEYENCE CORP,JP3236200006,TSE,JPY,600.0000000000,76750
6951,JEOL LTD,JP3735000006,TSE,JPY,5200.0000000000,7044
6954,FANUC CORP,JP3802400006,TSE,JPY,6500.0000000000,7362
6981,MURATA MFG CO,JP3914400001,TSE,JPY,25700.0000000000,11030
7182,JAPAN POST BANK CO,JP3946750001,TSE,JPY,24700.0000000000,3101
7202,ISUZU MOTORS,JP3137200006,TSE,JPY,13900.0000000000,2146
7203,TOYOTA MOTOR CORP,JP3633400001,TSE,JPY,95900.0000000000,2686
7366,LITALICO INC,JP3974470001,TSE,JPY,11600.0000000000,1538
7532,PAN PACIFIC INTL H,JP3639650005,TSE,JPY,92500.0000000000,818.5
7550,ZENSHO HOLDINGS,JP3429300001,TSE,JPY,2500.0000000000,7780
7730,MANI INC,JP3869920003,TSE,JPY,15300.0000000000,1691
7741,HOYA CORP,JP3837800006,TSE,JPY,700.0000000000,26350
7747,ASAHI INTECC CO LT,JP3110650003,TSE,JPY,3000.0000000000,3592
7832,BANDAI NAMCO HLDGS,JP3778630008,TSE,JPY,14600.0000000000,3673
7846,PILOT CORP (NEW),JP3780610006,TSE,JPY,4900.0000000000,4990
