ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,257396900.0000,930000,20260424

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,21600.0000000000,3969
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,2000.0000000000,4840
2001,NIPPN CORPORATION,JP3723000000,TSE,JPY,5300.0000000000,2625
2802,AJINOMOTO CO INC,JP3119600009,TSE,JPY,1300.0000000000,4590
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,100.0000000000,35380
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,69200.0000000000,1853.5
3382,SEVEN & I HOLDINGS,JP3422950000,TSE,JPY,25500.0000000000,1948
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,13700.0000000000,4445
3923,RAKUS CO LTD,JP3967170006,TSE,JPY,7200.0000000000,857.1
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,31900.0000000000,1715
4046,OSAKA SODA CO LTD,JP3485900009,TSE,JPY,2500.0000000000,1843
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,6300.0000000000,6664
4071,PLUS ALPHA CONSULT,JP3832700003,TSE,JPY,2900.0000000000,2141
4088,AIR WATER INC,JP3160670000,TSE,JPY,8900.0000000000,2207
4403,NOF CORP,JP3753400005,TSE,JPY,1800.0000000000,3120
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,5600.0000000000,7960
4516,NIPPON SHINYAKU CO,JP3717600005,TSE,JPY,6900.0000000000,5024
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,2200.0000000000,8926
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,21000.0000000000,2790
4613,KANSAI PAINT CO,JP3229400001,TSE,JPY,3300.0000000000,2387
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,23000.0000000000,1880
4684,OBIC CO LTD,JP3173400007,TSE,JPY,3700.0000000000,4264
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,4900.0000000000,3560
5334,NITERRA CO LTD,JP3738600000,TSE,JPY,600.0000000000,8406
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,9400.0000000000,9755
5801,FURUKAWA ELECTRIC,JP3827200001,TSE,JPY,200.0000000000,42530
5802,SUMITOMO ELECTRIC,JP3407400005,TSE,JPY,5500.0000000000,10205
5803,FUJIKURA,JP3811000003,TSE,JPY,2700.0000000000,5893
5991,NHK SPRING CO LTD,JP3742600004,TSE,JPY,9200.0000000000,2829.5
6098,RECRUIT HLDGS CO L,JP3970300004,TSE,JPY,20300.0000000000,7561
6134,FUJI CORPORATION,JP3809200003,TSE,JPY,2300.0000000000,5714
6146,DISCO CORPORATION,JP3548600000,TSE,JPY,600.0000000000,72000
6278,UNION TOOL CO,JP3950600001,TSE,JPY,500.0000000000,16800
6301,KOMATSU,JP3304200003,TSE,JPY,1100.0000000000,6970
6331,MITSUBISHI KAKOKI,JP3896000001,TSE,JPY,900.0000000000,3180
6361,EBARA CORP,JP3166000004,TSE,JPY,600.0000000000,5309
6367,DAIKIN INDUSTRIES,JP3481800005,TSE,JPY,1500.0000000000,21090
6383,DAIFUKU CO LTD,JP3497400006,TSE,JPY,500.0000000000,6342
6501,HITACHI,JP3788600009,TSE,JPY,700.0000000000,5203
6504,FUJI ELECTRIC CO.,JP3820000002,TSE,JPY,7000.0000000000,12155
6702,FUJITSU,JP3818000006,TSE,JPY,2700.0000000000,3773
6750,ELECOM CO,JP3168200008,TSE,JPY,10300.0000000000,1622
6754,ANRITSU CORP,JP3128800004,TSE,JPY,2800.0000000000,3572
6758,SONY GROUP CORPORA,JP3435000009,TSE,JPY,30800.0000000000,3263
6762,TDK CORP,JP3538800008,TSE,JPY,1300.0000000000,2662
6845,AZBIL CORP,JP3937200008,TSE,JPY,8500.0000000000,1408
6857,ADVANTEST CORP,JP3122400009,TSE,JPY,1400.0000000000,27900
6861,KEYENCE CORP,JP3236200006,TSE,JPY,500.0000000000,63470
6951,JEOL LTD,JP3735000006,TSE,JPY,800.0000000000,6437
6954,FANUC CORP,JP3802400006,TSE,JPY,4900.0000000000,6340
6976,TAIYO YUDEN CO LTD,JP3452000007,TSE,JPY,6200.0000000000,6208
6981,MURATA MFG CO,JP3914400001,TSE,JPY,42500.0000000000,4813
7182,JAPAN POST BANK CO,JP3946750001,TSE,JPY,26400.0000000000,2537
7202,ISUZU MOTORS,JP3137200006,TSE,JPY,9400.0000000000,2270
7203,TOYOTA MOTOR CORP,JP3633400001,TSE,JPY,60500.0000000000,3123
7366,LITALICO INC,JP3974470001,TSE,JPY,8600.0000000000,1215
7532,PAN PACIFIC INTL H,JP3639650005,TSE,JPY,20800.0000000000,922
7730,MANI INC,JP3869920003,TSE,JPY,13800.0000000000,1803
7741,HOYA CORP,JP3837800006,TSE,JPY,800.0000000000,28495
7747,ASAHI INTECC CO LT,JP3110650003,TSE,JPY,6000.0000000000,3317
7832,BANDAI NAMCO HLDGS,JP3778630008,TSE,JPY,13600.0000000000,3770
7846,PILOT CORP (NEW),JP3780610006,TSE,JPY,6700.0000000000,4793
7936,ASICS CORP,JP3118000003,TSE,JPY,12900.0000000000,4478
8001,ITOCHU CORP,JP3143600009,TSE,JPY,1600.0000000000,1930.5
8015,TOYOTA TSUSHO CORP,JP3635000007,TSE,JPY,4600.0000000000,6154
8035,TOKYO ELECTRON,JP3571400005,TSE,JPY,1600.0000000000,45480
8053,SUMITOMO CORP,JP3404600003,TSE,JPY,13200.0000000000,5754
8111,GOLDWIN INC,JP3306600002,TSE,JPY,17200.0000000000,2157.5
8306,MITSUBISHI UFJ FIN,JP3902900004,TSE,JPY,9800.0000000000,2752
8750,DAIICHI LIFE GP,JP3476480003,TSE,JPY,21500.0000000000,1415.5
8766,TOKIO MARINE HLDG,JP3910660004,TSE,JPY,6500.0000000000,7072
8830,SUMITOMO RLTY&DEV,JP3409000001,TSE,JPY,9500.0000000000,4678
9433,KDDI CORP,JP3496400007,TSE,JPY,5800.0000000000,2600.5
9697,CAPCOM CO LTD,JP3218900003,TSE,JPY,1800.0000000000,3478
9735,SECOM CO,JP3421800008,TSE,JPY,10700.0000000000,5740
9830,TRUSCO NAKAYAMA,JP3635500006,TSE,JPY,8700.0000000000,2287
9983,FAST RETAILING CO,JP3802300008,TSE,JPY,600.0000000000,69290
