ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,47988189.0000,960000,20260828

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,21600.0000000000,3856
1812,KAJIMA CORP,JP3210200006,TSE,JPY,8500.0000000000,4826
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,7400.0000000000,4716
1944,KINDEN CORP,JP3263000006,TSE,JPY,8200.0000000000,6975
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,700.0000000000,52500
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,115200.0000000000,1872.5
3563,FOOD & LIFE COMPAN,JP3397150008,TSE,JPY,12200.0000000000,5802
3769,GMO PAYMENT GATEWA,JP3385890003,TSE,JPY,1900.0000000000,9606
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,10200.0000000000,6590
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,28400.0000000000,2170
4061,DENKA COMPANY LTD,JP3549600009,TSE,JPY,10100.0000000000,3406
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,6500.0000000000,5993
4403,NOF CORP,JP3753400005,TSE,JPY,12100.0000000000,2800.5
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,500.0000000000,13860
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,6700.0000000000,6947
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,18100.0000000000,2886.5
4613,KANSAI PAINT CO,JP3229400001,TSE,JPY,2000.0000000000,2872.5
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,5700.0000000000,1986
4684,OBIC CO LTD,JP3173400007,TSE,JPY,8100.0000000000,4818
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,13800.0000000000,4140
4919,MILBON CO LTD,JP3910650005,TSE,JPY,17000.0000000000,3260
5076,INFRONEER HLDGS IN,JP3153850007,TSE,JPY,13500.0000000000,2841
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,13900.0000000000,7706
5803,FUJIKURA,JP3811000003,TSE,JPY,7000.0000000000,5500
6005,MIURA CO LTD,JP3880800002,TSE,JPY,7000.0000000000,3222
6055,JAPAN MATERIAL CO,JP3389680004,TSE,JPY,8800.0000000000,2215
6098,RECRUIT HLDGS CO L,JP3970300004,TSE,JPY,14400.0000000000,16970
6134,FUJI CORPORATION,JP3809200003,TSE,JPY,10400.0000000000,7231
6146,DISCO CORPORATION,JP3548600000,TSE,JPY,100.0000000000,59780
6278,UNION TOOL CO,JP3950600001,TSE,JPY,1100.0000000000,14730
6301,KOMATSU,JP3304200003,TSE,JPY,1100.0000000000,7561
6331,MITSUBISHI KAKOKI,JP3896000001,TSE,JPY,900.0000000000,3280
6361,EBARA CORP,JP3166000004,TSE,JPY,12200.0000000000,4821
6367,DAIKIN INDUSTRIES,JP3481800005,TSE,JPY,600.0000000000,20840
6480,NIPPON THOMPSON CO,JP3739400004,TSE,JPY,21500.0000000000,1788
6501,HITACHI,JP3788600009,TSE,JPY,34800.0000000000,5433
6504,FUJI ELECTRIC CO.,JP3820000002,TSE,JPY,2200.0000000000,14230
6702,FUJITSU,JP3818000006,TSE,JPY,18000.0000000000,3753
6758,SONY GROUP CORPORA,JP3435000009,TSE,JPY,50600.0000000000,3870
6762,TDK CORP,JP3538800008,TSE,JPY,1300.0000000000,3077
6845,AZBIL CORP,JP3937200008,TSE,JPY,6700.0000000000,1521
6857,ADVANTEST CORP,JP3122400009,TSE,JPY,100.0000000000,34610
6861,KEYENCE CORP,JP3236200006,TSE,JPY,700.0000000000,82150
6871,MICRONICS JAPAN CO,JP3750400008,TSE,JPY,700.0000000000,13280
6951,JEOL LTD,JP3735000006,TSE,JPY,5000.0000000000,7137
6954,FANUC CORP,JP3802400006,TSE,JPY,15500.0000000000,6023
6961,ENPLAS CORP,JP3169800004,TSE,JPY,3200.0000000000,10530
6981,MURATA MFG CO,JP3914400001,TSE,JPY,18600.0000000000,7309
7182,JAPAN POST BANK CO,JP3946750001,TSE,JPY,4400.0000000000,3301
7202,ISUZU MOTORS,JP3137200006,TSE,JPY,23400.0000000000,2213
7203,TOYOTA MOTOR CORP,JP3633400001,TSE,JPY,89200.0000000000,3077
7366,LITALICO INC,JP3974470001,TSE,JPY,7800.0000000000,1899
7532,PAN PACIFIC INTL H,JP3639650005,TSE,JPY,64200.0000000000,812.8
7550,ZENSHO HOLDINGS,JP3429300001,TSE,JPY,6800.0000000000,11715
7730,MANI INC,JP3869920003,TSE,JPY,15000.0000000000,1590
7741,HOYA CORP,JP3837800006,TSE,JPY,2900.0000000000,24465
7747,ASAHI INTECC CO LT,JP3110650003,TSE,JPY,3100.0000000000,3862
7832,BANDAI NAMCO HLDGS,JP3778630008,TSE,JPY,1100.0000000000,5612
7936,ASICS CORP,JP3118000003,TSE,JPY,22400.0000000000,4467
8001,ITOCHU CORP,JP3143600009,TSE,JPY,11900.0000000000,2105
8002,MARUBENI CORP,JP3877600001,TSE,JPY,2700.0000000000,4908
8015,TOYOTA TSUSHO CORP,JP3635000007,TSE,JPY,9200.0000000000,7550
8035,TOKYO ELECTRON,JP3571400005,TSE,JPY,100.0000000000,56000
8053,SUMITOMO CORP,JP3404600003,TSE,JPY,26000.0000000000,1750
8111,GOLDWIN INC,JP3306600002,TSE,JPY,9200.0000000000,2170
8306,MITSUBISHI UFJ FIN,JP3902900004,TSE,JPY,6700.0000000000,3608
8750,DAIICHI LIFE GP,JP3476480003,TSE,JPY,23300.0000000000,1816.5
8766,TOKIO MARINE HLDG,JP3910660004,TSE,JPY,6200.0000000000,7629
8830,SUMITOMO RLTY&DEV,JP3409000001,TSE,JPY,12500.0000000000,3387
9697,CAPCOM CO LTD,JP3218900003,TSE,JPY,6600.0000000000,4159
9766,KONAMI GROUP CORP,JP3300200007,TSE,JPY,1100.0000000000,21735
9830,TRUSCO NAKAYAMA,JP3635500006,TSE,JPY,8700.0000000000,2418
9983,FAST RETAILING CO,JP3802300008,TSE,JPY,100.0000000000,71220
9984,SOFTBANK GROUP CO,JP3436100006,TSE,JPY,11100.0000000000,5200
