ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,250913798.0000,930000,20260519

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,21600.0000000000,3934
1812,KAJIMA CORP,JP3210200006,TSE,JPY,5300.0000000000,5650
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,2000.0000000000,4483
2001,NIPPN CORPORATION,JP3723000000,TSE,JPY,5300.0000000000,2712
2802,AJINOMOTO CO INC,JP3119600009,TSE,JPY,700.0000000000,5193
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,100.0000000000,51450
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,69200.0000000000,1865
3382,SEVEN & I HOLDINGS,JP3422950000,TSE,JPY,25500.0000000000,1878.5
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,7300.0000000000,6430
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,21800.0000000000,2040
4046,OSAKA SODA CO LTD,JP3485900009,TSE,JPY,900.0000000000,1843
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,12800.0000000000,7013
4088,AIR WATER INC,JP3160670000,TSE,JPY,8900.0000000000,2302
4403,NOF CORP,JP3753400005,TSE,JPY,1800.0000000000,2787.5
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,4200.0000000000,8890
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,4500.0000000000,7885
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,21000.0000000000,2620.5
4613,KANSAI PAINT CO,JP3229400001,TSE,JPY,3300.0000000000,2300
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,23000.0000000000,1756
4684,OBIC CO LTD,JP3173400007,TSE,JPY,6100.0000000000,4141
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,6600.0000000000,3810
5334,NITERRA CO LTD,JP3738600000,TSE,JPY,600.0000000000,9855
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,9400.0000000000,7806
5801,FURUKAWA ELECTRIC,JP3827200001,TSE,JPY,100.0000000000,54840
5802,SUMITOMO ELECTRIC,JP3407400005,TSE,JPY,3100.0000000000,11380
5803,FUJIKURA,JP3811000003,TSE,JPY,600.0000000000,5653
5991,NHK SPRING CO LTD,JP3742600004,TSE,JPY,3800.0000000000,3339
6098,RECRUIT HLDGS CO L,JP3970300004,TSE,JPY,20300.0000000000,9122
6134,FUJI CORPORATION,JP3809200003,TSE,JPY,9000.0000000000,7735
6146,DISCO CORPORATION,JP3548600000,TSE,JPY,200.0000000000,63500
6301,KOMATSU,JP3304200003,TSE,JPY,1100.0000000000,6322
6331,MITSUBISHI KAKOKI,JP3896000001,TSE,JPY,900.0000000000,3845
6361,EBARA CORP,JP3166000004,TSE,JPY,600.0000000000,5349
6367,DAIKIN INDUSTRIES,JP3481800005,TSE,JPY,700.0000000000,24020
6383,DAIFUKU CO LTD,JP3497400006,TSE,JPY,500.0000000000,7076
6501,HITACHI,JP3788600009,TSE,JPY,700.0000000000,4808
6504,FUJI ELECTRIC CO.,JP3820000002,TSE,JPY,2900.0000000000,14775
6702,FUJITSU,JP3818000006,TSE,JPY,1100.0000000000,3231
6750,ELECOM CO,JP3168200008,TSE,JPY,10300.0000000000,1635
6754,ANRITSU CORP,JP3128800004,TSE,JPY,800.0000000000,4205
6758,SONY GROUP CORPORA,JP3435000009,TSE,JPY,32000.0000000000,3596
6762,TDK CORP,JP3538800008,TSE,JPY,1300.0000000000,2977.5
6845,AZBIL CORP,JP3937200008,TSE,JPY,21000.0000000000,1510.5
6857,ADVANTEST CORP,JP3122400009,TSE,JPY,400.0000000000,26150
6861,KEYENCE CORP,JP3236200006,TSE,JPY,600.0000000000,76830
6951,JEOL LTD,JP3735000006,TSE,JPY,800.0000000000,6465
6954,FANUC CORP,JP3802400006,TSE,JPY,2200.0000000000,7966
6976,TAIYO YUDEN CO LTD,JP3452000007,TSE,JPY,4800.0000000000,7194
6981,MURATA MFG CO,JP3914400001,TSE,JPY,37900.0000000000,6171
7182,JAPAN POST BANK CO,JP3946750001,TSE,JPY,31700.0000000000,2977.5
7202,ISUZU MOTORS,JP3137200006,TSE,JPY,9400.0000000000,2215
7203,TOYOTA MOTOR CORP,JP3633400001,TSE,JPY,77400.0000000000,2954.5
7366,LITALICO INC,JP3974470001,TSE,JPY,11600.0000000000,1561
7532,PAN PACIFIC INTL H,JP3639650005,TSE,JPY,44200.0000000000,871.3
7730,MANI INC,JP3869920003,TSE,JPY,25000.0000000000,1686
7741,HOYA CORP,JP3837800006,TSE,JPY,700.0000000000,27725
7747,ASAHI INTECC CO LT,JP3110650003,TSE,JPY,13600.0000000000,3564
7832,BANDAI NAMCO HLDGS,JP3778630008,TSE,JPY,13600.0000000000,3623
7846,PILOT CORP (NEW),JP3780610006,TSE,JPY,6700.0000000000,4672
7936,ASICS CORP,JP3118000003,TSE,JPY,22800.0000000000,4436
8001,ITOCHU CORP,JP3143600009,TSE,JPY,1600.0000000000,1993
8015,TOYOTA TSUSHO CORP,JP3635000007,TSE,JPY,3800.0000000000,7064
8035,TOKYO ELECTRON,JP3571400005,TSE,JPY,400.0000000000,49260
8053,SUMITOMO CORP,JP3404600003,TSE,JPY,11400.0000000000,7257
8111,GOLDWIN INC,JP3306600002,TSE,JPY,17200.0000000000,2137
8306,MITSUBISHI UFJ FIN,JP3902900004,TSE,JPY,16500.0000000000,2995
8750,DAIICHI LIFE GP,JP3476480003,TSE,JPY,36800.0000000000,1615
8766,TOKIO MARINE HLDG,JP3910660004,TSE,JPY,13700.0000000000,7627
8830,SUMITOMO RLTY&DEV,JP3409000001,TSE,JPY,9500.0000000000,3981
9433,KDDI CORP,JP3496400007,TSE,JPY,13400.0000000000,2688.5
9697,CAPCOM CO LTD,JP3218900003,TSE,JPY,1800.0000000000,3042
9735,SECOM CO,JP3421800008,TSE,JPY,14600.0000000000,6127
9830,TRUSCO NAKAYAMA,JP3635500006,TSE,JPY,8700.0000000000,2229
9983,FAST RETAILING CO,JP3802300008,TSE,JPY,500.0000000000,70190
