ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,147713531.0000,960000,20260609

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,21600.0000000000,3641
1812,KAJIMA CORP,JP3210200006,TSE,JPY,5300.0000000000,5391
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,2000.0000000000,4249
2001,NIPPN CORPORATION,JP3723000000,TSE,JPY,3900.0000000000,2652
2802,AJINOMOTO CO INC,JP3119600009,TSE,JPY,700.0000000000,4806
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,100.0000000000,71880
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,80900.0000000000,1875
3382,SEVEN & I HOLDINGS,JP3422950000,TSE,JPY,25500.0000000000,1915.5
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,7100.0000000000,9040
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,12200.0000000000,2062
4061,DENKA COMPANY LTD,JP3549600009,TSE,JPY,8600.0000000000,3808
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,15300.0000000000,6863
4088,AIR WATER INC,JP3160670000,TSE,JPY,8900.0000000000,2470
4403,NOF CORP,JP3753400005,TSE,JPY,1800.0000000000,2593.5
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,700.0000000000,10650
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,3500.0000000000,7465
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,21000.0000000000,2528.5
4613,KANSAI PAINT CO,JP3229400001,TSE,JPY,3300.0000000000,2401.5
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,23000.0000000000,1798
4684,OBIC CO LTD,JP3173400007,TSE,JPY,16400.0000000000,3986
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,6600.0000000000,3910
5334,NITERRA CO LTD,JP3738600000,TSE,JPY,600.0000000000,9877
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,12400.0000000000,7470
5801,FURUKAWA ELECTRIC,JP3827200001,TSE,JPY,100.0000000000,45260
5802,SUMITOMO ELECTRIC,JP3407400005,TSE,JPY,3100.0000000000,12140
5991,NHK SPRING CO LTD,JP3742600004,TSE,JPY,1600.0000000000,3841
6098,RECRUIT HLDGS CO L,JP3970300004,TSE,JPY,22800.0000000000,10755
6134,FUJI CORPORATION,JP3809200003,TSE,JPY,9800.0000000000,7162
6146,DISCO CORPORATION,JP3548600000,TSE,JPY,600.0000000000,67480
6301,KOMATSU,JP3304200003,TSE,JPY,1100.0000000000,6555
6331,MITSUBISHI KAKOKI,JP3896000001,TSE,JPY,900.0000000000,3500
6361,EBARA CORP,JP3166000004,TSE,JPY,4700.0000000000,5030
6367,DAIKIN INDUSTRIES,JP3481800005,TSE,JPY,700.0000000000,23440
6383,DAIFUKU CO LTD,JP3497400006,TSE,JPY,500.0000000000,6585
6501,HITACHI,JP3788600009,TSE,JPY,700.0000000000,5031
6504,FUJI ELECTRIC CO.,JP3820000002,TSE,JPY,2100.0000000000,13920
6702,FUJITSU,JP3818000006,TSE,JPY,1100.0000000000,3465
6750,ELECOM CO,JP3168200008,TSE,JPY,5200.0000000000,1766
6754,ANRITSU CORP,JP3128800004,TSE,JPY,800.0000000000,4269
6758,SONY GROUP CORPORA,JP3435000009,TSE,JPY,32000.0000000000,3508
6762,TDK CORP,JP3538800008,TSE,JPY,1300.0000000000,3715
6845,AZBIL CORP,JP3937200008,TSE,JPY,13400.0000000000,1577
6857,ADVANTEST CORP,JP3122400009,TSE,JPY,3400.0000000000,25235
6861,KEYENCE CORP,JP3236200006,TSE,JPY,600.0000000000,74980
6951,JEOL LTD,JP3735000006,TSE,JPY,2500.0000000000,6516
6954,FANUC CORP,JP3802400006,TSE,JPY,2200.0000000000,7128
6981,MURATA MFG CO,JP3914400001,TSE,JPY,31400.0000000000,8711
7182,JAPAN POST BANK CO,JP3946750001,TSE,JPY,28000.0000000000,3126
7202,ISUZU MOTORS,JP3137200006,TSE,JPY,9400.0000000000,2163.5
7203,TOYOTA MOTOR CORP,JP3633400001,TSE,JPY,95900.0000000000,2822.5
7366,LITALICO INC,JP3974470001,TSE,JPY,11600.0000000000,1504
7532,PAN PACIFIC INTL H,JP3639650005,TSE,JPY,66000.0000000000,839.3
7550,ZENSHO HOLDINGS,JP3429300001,TSE,JPY,2500.0000000000,7695
7730,MANI INC,JP3869920003,TSE,JPY,15300.0000000000,1690
7741,HOYA CORP,JP3837800006,TSE,JPY,700.0000000000,25280
7747,ASAHI INTECC CO LT,JP3110650003,TSE,JPY,3000.0000000000,3753
7832,BANDAI NAMCO HLDGS,JP3778630008,TSE,JPY,12000.0000000000,3719
7846,PILOT CORP (NEW),JP3780610006,TSE,JPY,5900.0000000000,4881
7936,ASICS CORP,JP3118000003,TSE,JPY,22800.0000000000,4356
8001,ITOCHU CORP,JP3143600009,TSE,JPY,13000.0000000000,1844
8015,TOYOTA TSUSHO CORP,JP3635000007,TSE,JPY,3800.0000000000,6165
8035,TOKYO ELECTRON,JP3571400005,TSE,JPY,800.0000000000,55020
8053,SUMITOMO CORP,JP3404600003,TSE,JPY,5500.0000000000,6617
