ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,29436927.0000,960000,20260608

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,21600.0000000000,3685
1812,KAJIMA CORP,JP3210200006,TSE,JPY,5300.0000000000,5559
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,2000.0000000000,4191
2001,NIPPN CORPORATION,JP3723000000,TSE,JPY,3900.0000000000,2621
2802,AJINOMOTO CO INC,JP3119600009,TSE,JPY,700.0000000000,4942
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,100.0000000000,78140
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,80900.0000000000,1885
3382,SEVEN & I HOLDINGS,JP3422950000,TSE,JPY,25500.0000000000,1863.5
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,8500.0000000000,9170
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,18200.0000000000,2296
4061,DENKA COMPANY LTD,JP3549600009,TSE,JPY,8600.0000000000,4111
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,15300.0000000000,7350
4088,AIR WATER INC,JP3160670000,TSE,JPY,8900.0000000000,2464
4403,NOF CORP,JP3753400005,TSE,JPY,1800.0000000000,2644
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,700.0000000000,11730
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,3500.0000000000,7554
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,21000.0000000000,2490
4613,KANSAI PAINT CO,JP3229400001,TSE,JPY,3300.0000000000,2401.5
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,23000.0000000000,1807.5
4684,OBIC CO LTD,JP3173400007,TSE,JPY,14600.0000000000,3993
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,6600.0000000000,4050
5334,NITERRA CO LTD,JP3738600000,TSE,JPY,600.0000000000,10155
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,12400.0000000000,7930
5801,FURUKAWA ELECTRIC,JP3827200001,TSE,JPY,100.0000000000,49050
5802,SUMITOMO ELECTRIC,JP3407400005,TSE,JPY,3100.0000000000,13010
5803,FUJIKURA,JP3811000003,TSE,JPY,600.0000000000,4747
5991,NHK SPRING CO LTD,JP3742600004,TSE,JPY,1600.0000000000,4049
6098,RECRUIT HLDGS CO L,JP3970300004,TSE,JPY,22800.0000000000,10595
6134,FUJI CORPORATION,JP3809200003,TSE,JPY,12200.0000000000,7736
6146,DISCO CORPORATION,JP3548600000,TSE,JPY,600.0000000000,72580
6301,KOMATSU,JP3304200003,TSE,JPY,1100.0000000000,6739
6331,MITSUBISHI KAKOKI,JP3896000001,TSE,JPY,900.0000000000,3610
6361,EBARA CORP,JP3166000004,TSE,JPY,4700.0000000000,5535
6367,DAIKIN INDUSTRIES,JP3481800005,TSE,JPY,700.0000000000,23700
6383,DAIFUKU CO LTD,JP3497400006,TSE,JPY,500.0000000000,6882
6501,HITACHI,JP3788600009,TSE,JPY,700.0000000000,5300
6504,FUJI ELECTRIC CO.,JP3820000002,TSE,JPY,2100.0000000000,15325
6702,FUJITSU,JP3818000006,TSE,JPY,1100.0000000000,3591
6750,ELECOM CO,JP3168200008,TSE,JPY,5200.0000000000,1740
6754,ANRITSU CORP,JP3128800004,TSE,JPY,800.0000000000,4689
6758,SONY GROUP CORPORA,JP3435000009,TSE,JPY,32000.0000000000,3559
6762,TDK CORP,JP3538800008,TSE,JPY,1300.0000000000,4111
6845,AZBIL CORP,JP3937200008,TSE,JPY,13400.0000000000,1611
6857,ADVANTEST CORP,JP3122400009,TSE,JPY,3400.0000000000,26765
6861,KEYENCE CORP,JP3236200006,TSE,JPY,600.0000000000,78070
6951,JEOL LTD,JP3735000006,TSE,JPY,2500.0000000000,7084
6954,FANUC CORP,JP3802400006,TSE,JPY,2200.0000000000,7648
6976,TAIYO YUDEN CO LTD,JP3452000007,TSE,JPY,2200.0000000000,15850
6981,MURATA MFG CO,JP3914400001,TSE,JPY,33500.0000000000,9695
7182,JAPAN POST BANK CO,JP3946750001,TSE,JPY,31700.0000000000,3161
7202,ISUZU MOTORS,JP3137200006,TSE,JPY,9400.0000000000,2177
7203,TOYOTA MOTOR CORP,JP3633400001,TSE,JPY,95900.0000000000,2850
7366,LITALICO INC,JP3974470001,TSE,JPY,11600.0000000000,1507
7532,PAN PACIFIC INTL H,JP3639650005,TSE,JPY,66000.0000000000,831.9
7550,ZENSHO HOLDINGS,JP3429300001,TSE,JPY,2500.0000000000,7536
7730,MANI INC,JP3869920003,TSE,JPY,15300.0000000000,1737
7741,HOYA CORP,JP3837800006,TSE,JPY,700.0000000000,26340
7747,ASAHI INTECC CO LT,JP3110650003,TSE,JPY,3000.0000000000,3772
7832,BANDAI NAMCO HLDGS,JP3778630008,TSE,JPY,12000.0000000000,3751
7846,PILOT CORP (NEW),JP3780610006,TSE,JPY,5900.0000000000,4875
7936,ASICS CORP,JP3118000003,TSE,JPY,22800.0000000000,4424
8001,ITOCHU CORP,JP3143600009,TSE,JPY,13000.0000000000,1873.5
8015,TOYOTA TSUSHO CORP,JP3635000007,TSE,JPY,3800.0000000000,6456
8035,TOKYO ELECTRON,JP3571400005,TSE,JPY,800.0000000000,59450
8053,SUMITOMO CORP,JP3404600003,TSE,JPY,5500.0000000000,6842
8111,GOLDWIN INC,JP3306600002,TSE,JPY,20200.0000000000,2091.5
8306,MITSUBISHI UFJ FIN,JP3902900004,TSE,JPY,24000.0000000000,3219
8750,DAIICHI LIFE GP,JP3476480003,TSE,JPY,36800.0000000000,1662.5
8766,TOKIO MARINE HLDG,JP3910660004,TSE,JPY,15500.0000000000,6996
8830,SUMITOMO RLTY&DEV,JP3409000001,TSE,JPY,9500.0000000000,3550
9433,KDDI CORP,JP3496400007,TSE,JPY,15700.0000000000,2651.5
9697,CAPCOM CO LTD,JP3218900003,TSE,JPY,11800.0000000000,2885
9735,SECOM CO,JP3421800008,TSE,JPY,3600.0000000000,6309
9766,KONAMI GROUP CORP,JP3300200007,TSE,JPY,1800.0000000000,19700
9830,TRUSCO NAKAYAMA,JP3635500006,TSE,JPY,8700.0000000000,2218
9983,FAST RETAILING CO,JP3802300008,TSE,JPY,500.0000000000,78700
9984,SOFTBANK GROUP CO,JP3436100006,TSE,JPY,16300.0000000000,7426
